event                                   eventNumber
Jet_pt                                  jet1_pt
Jet_energyRing_dR0_neut                 jet1_neut_r0_energy
Jet_energyRing_dR1_neut                 jet1_neut_r1_energy
Jet_energyRing_dR2_neut                 jet1_neut_r2_energy
Jet_energyRing_dR3_neut                 jet1_neut_r3_energy
Jet_energyRing_dR4_neut                 jet1_neut_r4_energy
Jet_energyRing_dR5_neut                 jet1_neut_r5_energy
Jet_energyRing_dR0_ch                   jet1_ch_r0_energy
Jet_energyRing_dR1_ch                   jet1_ch_r1_energy
Jet_energyRing_dR2_ch                   jet1_ch_r2_energy
Jet_energyRing_dR3_ch                   jet1_ch_r3_energy
Jet_energyRing_dR4_ch                   jet1_ch_r4_energy
Jet_energyRing_dR5_ch                   jet1_ch_r5_energy
Jet_energyRing_dR0_em                   jet1_em_r0_energy
Jet_energyRing_dR1_em                   jet1_em_r1_energy
Jet_energyRing_dR2_em                   jet1_em_r2_energy
Jet_energyRing_dR3_em                   jet1_em_r3_energy
Jet_energyRing_dR4_em                   jet1_em_r4_energy
Jet_energyRing_dR5_em                   jet1_em_r5_energy
Jet_energyRing_dR0_mu                   jet1_mu_r0_energy
Jet_energyRing_dR1_mu                   jet1_mu_r1_energy
Jet_energyRing_dR2_mu                   jet1_mu_r2_energy
Jet_energyRing_dR3_mu                   jet1_mu_r3_energy
Jet_energyRing_dR4_mu                   jet1_mu_r4_energy
Jet_energyRing_dR5_mu                   jet1_mu_r5_energy
Jet_energyRing_dR0_neut_Jet_rawEnergy   jet1_neut_r0_rawE
Jet_energyRing_dR1_neut_Jet_rawEnergy   jet1_neut_r1_rawE
Jet_energyRing_dR2_neut_Jet_rawEnergy   jet1_neut_r2_rawE
Jet_energyRing_dR3_neut_Jet_rawEnergy   jet1_neut_r3_rawE
Jet_energyRing_dR4_neut_Jet_rawEnergy   jet1_neut_r4_rawE
Jet_energyRing_dR5_neut_Jet_rawEnergy   jet1_neut_r5_rawE
Jet_energyRing_dR0_ch_Jet_rawEnergy     jet1_ch_r0_rawE
Jet_energyRing_dR1_ch_Jet_rawEnergy     jet1_ch_r1_rawE
Jet_energyRing_dR2_ch_Jet_rawEnergy     jet1_ch_r2_rawE
Jet_energyRing_dR3_ch_Jet_rawEnergy     jet1_ch_r3_rawE
Jet_energyRing_dR4_ch_Jet_rawEnergy     jet1_ch_r4_rawE
Jet_energyRing_dR5_ch_Jet_rawEnergy     jet1_ch_r5_rawE
Jet_energyRing_dR0_em_Jet_rawEnergy     jet1_em_r0_rawE
Jet_energyRing_dR1_em_Jet_rawEnergy     jet1_em_r1_rawE
Jet_energyRing_dR2_em_Jet_rawEnergy     jet1_em_r2_rawE
Jet_energyRing_dR3_em_Jet_rawEnergy     jet1_em_r3_rawE
Jet_energyRing_dR4_em_Jet_rawEnergy     jet1_em_r4_rawE
Jet_energyRing_dR5_em_Jet_rawEnergy     jet1_em_r5_rawE
Jet_energyRing_dR0_mu_Jet_rawEnergy     jet1_mu_r0_rawE
Jet_energyRing_dR1_mu_Jet_rawEnergy     jet1_mu_r1_rawE
Jet_energyRing_dR2_mu_Jet_rawEnergy     jet1_mu_r2_rawE
Jet_energyRing_dR3_mu_Jet_rawEnergy     jet1_mu_r3_rawE
Jet_energyRing_dR4_mu_Jet_rawEnergy     jet1_mu_r4_rawE
Jet_energyRing_dR5_mu_Jet_rawEnergy     jet1_mu_r5_rawE
