event                                   eventNumber
run                                     runNumber
luminosityBlock                         lumiNumber
genWeight                               mc_weight
rho                                     rho
nPVs                                    npv
nPVs_good                               npv_true
met_pt                                  pfmet
met_phi                                 pfmetphi
Jet_mcPt                                jet1_gen_pt
Jet_mcFlavour                           jet1_gen_partonFlavor
Jet_pt                                  jet1_pt
Jet_mt                                  jet1_mt
Jet_eta                                 jet1_eta
Jet_e                                   jet1_e
Jet_phi                                 jet1_phi
Jet_mass                                jet1_m
Jet_vtxNtrk                             jet1_vtx_ntrk
Jet_vtxMass                             jet1_vtx_m
Jet_vtx3dL                              jet1_vtx_3Dval
Jet_vtx3deL                             jet1_vtx_3Derr
Jet_vtxPt                               jet1_vtx_pt
Jet_puId                                jet1_puid
Jet_id                                  jet1_gen_pdgid
Jet_btagCMVA                            jet1_cmva
Jet_btagDeepC                           jet1_deepCSVb
Jet_btagDeepB                           jet1_deepCSVc
Jet_chHEF                               jet1_chf
Jet_neHEF                               jet1_nhf
Jet_chEmEF                              jet1_cef
Jet_neEmEF                              jet1_nef
Jet_leadTrackPt                         jet1_maxpf
Jet_leptonPt                            jet1_leadlep_pt
Jet_leptonPtRel                         jet1_leadlep_ptrel
Jet_leptonPtRelnanoAOD                  jet1_leadlep_ptrel
Jet_leptonDeltaR                        jet1_leadlep_dr
Jet_met_dPhi                            jet1_dphi_u
Jet_rawEnergy                           jet1_eRaw
Jet_rawFactor                           jet1_rawFactor
Jet_numDaughters_pt03                   jet1_num03
Jet_numberOfDaughters                   jet1_ncands
Jet_corr_JEC                            jet1_rawFactor
Jet_JEC1                                jet1_rawFactor
Jet_JEC2                                jet1_rawFactor
Jet_JEC3                                jet1_rawFactor
Jet_ptd                                 jet1_ptD
Jet_withPtd                             jet1_ptD
Jet_leptonPdgId                         jet1_leadlep_pdgid
Jet_leptonPtRelInv                      jet1_leadlep_ptrel
isEle                                   jet1_isEle
isMu                                    jet1_isMu
isOther                                 jet1_isOther
Jet_bRegNN2                             jet1_reg
Jet_bRegNN2res                          jet1_regRes
Jet_energyRing_dR0_neut                 jet1_neut_r0_energy
Jet_energyRing_dR1_neut                 jet1_neut_r1_energy
Jet_energyRing_dR2_neut                 jet1_neut_r2_energy
Jet_energyRing_dR3_neut                 jet1_neut_r3_energy
Jet_energyRing_dR4_neut                 jet1_neut_r4_energy
Jet_energyRing_dR5_neut                 jet1_neut_r5_energy
Jet_energyRing_dR0_ch                   jet1_ch_r0_energy
Jet_energyRing_dR1_ch                   jet1_ch_r1_energy
Jet_energyRing_dR2_ch                   jet1_ch_r2_energy
Jet_energyRing_dR3_ch                   jet1_ch_r3_energy
Jet_energyRing_dR4_ch                   jet1_ch_r4_energy
Jet_energyRing_dR5_ch                   jet1_ch_r5_energy
Jet_energyRing_dR0_em                   jet1_em_r0_energy
Jet_energyRing_dR1_em                   jet1_em_r1_energy
Jet_energyRing_dR2_em                   jet1_em_r2_energy
Jet_energyRing_dR3_em                   jet1_em_r3_energy
Jet_energyRing_dR4_em                   jet1_em_r4_energy
Jet_energyRing_dR5_em                   jet1_em_r5_energy
Jet_energyRing_dR0_mu                   jet1_mu_r0_energy
Jet_energyRing_dR1_mu                   jet1_mu_r1_energy
Jet_energyRing_dR2_mu                   jet1_mu_r2_energy
Jet_energyRing_dR3_mu                   jet1_mu_r3_energy
Jet_energyRing_dR4_mu                   jet1_mu_r4_energy
Jet_energyRing_dR5_mu                   jet1_mu_r5_energy
Jet_energyRing_dR0_neut_Jet_rawEnergy   jet1_neut_r0_rawE
Jet_energyRing_dR1_neut_Jet_rawEnergy   jet1_neut_r1_rawE
Jet_energyRing_dR2_neut_Jet_rawEnergy   jet1_neut_r2_rawE
Jet_energyRing_dR3_neut_Jet_rawEnergy   jet1_neut_r3_rawE
Jet_energyRing_dR4_neut_Jet_rawEnergy   jet1_neut_r4_rawE
Jet_energyRing_dR5_neut_Jet_rawEnergy   jet1_neut_r5_rawE
Jet_energyRing_dR0_ch_Jet_rawEnergy     jet1_ch_r0_rawE
Jet_energyRing_dR1_ch_Jet_rawEnergy     jet1_ch_r1_rawE
Jet_energyRing_dR2_ch_Jet_rawEnergy     jet1_ch_r2_rawE
Jet_energyRing_dR3_ch_Jet_rawEnergy     jet1_ch_r3_rawE
Jet_energyRing_dR4_ch_Jet_rawEnergy     jet1_ch_r4_rawE
Jet_energyRing_dR5_ch_Jet_rawEnergy     jet1_ch_r5_rawE
Jet_energyRing_dR0_em_Jet_rawEnergy     jet1_em_r0_rawE
Jet_energyRing_dR1_em_Jet_rawEnergy     jet1_em_r1_rawE
Jet_energyRing_dR2_em_Jet_rawEnergy     jet1_em_r2_rawE
Jet_energyRing_dR3_em_Jet_rawEnergy     jet1_em_r3_rawE
Jet_energyRing_dR4_em_Jet_rawEnergy     jet1_em_r4_rawE
Jet_energyRing_dR5_em_Jet_rawEnergy     jet1_em_r5_rawE
Jet_energyRing_dR0_mu_Jet_rawEnergy     jet1_mu_r0_rawE
Jet_energyRing_dR1_mu_Jet_rawEnergy     jet1_mu_r1_rawE
Jet_energyRing_dR2_mu_Jet_rawEnergy     jet1_mu_r2_rawE
Jet_energyRing_dR3_mu_Jet_rawEnergy     jet1_mu_r3_rawE
Jet_energyRing_dR4_mu_Jet_rawEnergy     jet1_mu_r4_rawE
Jet_energyRing_dR5_mu_Jet_rawEnergy     jet1_mu_r5_rawE
