run                                     runNumber
luminosityBlock                         lumiNumber
event                                   eventNumber
rho                                     rho
Jet_mcPt                                jotGenPt
Jet_mcFlavour                           jotFlav
Jet_pt                                  jotRawPt
Jet_mt                                  jotRawMt
Jet_eta                                 jotEta
Jet_e                                   jotRawE
Jet_mass                                jotRawM
Jet_vtxNtrk                             jotVtxNtrk
Jet_vtxMass                             jotVtxMass			
Jet_vtx3dL                              jotVtx3DVal
Jet_vtx3deL                             jotVtx3DErr
Jet_vtxPt                               jotVtxPt
Jet_chHEF                               jotCHF
Jet_neHEF                               jotNHF
Jet_chEmEF                              jotCEF
Jet_neEmEF                              jotNEF
Jet_leadTrackPt                         jotTrk1Pt
Jet_leptonPt                            jotLep1Pt
Jet_leptonPtRel                         jotLep1PtRelRaw
Jet_leptonDeltaR                        jotLep1DeltaR
Jet_leptonPtRelInv                      jotLep1PtRelRawInv
Jet_numDaughters_pt03                   jotNPt03
Jet_ptd                                 jotPtD
Jet_withPtd                             jotPtD
isEle                                   jotLep1IsEle
isMu                                    jotLep1IsMu
isOther                                 jotLep1IsOther
Jet_energyRing_dR0_neut_Jet_rawEnergy   jotNeRing_0
Jet_energyRing_dR1_neut_Jet_rawEnergy   jotNeRing_1
Jet_energyRing_dR2_neut_Jet_rawEnergy   jotNeRing_2
Jet_energyRing_dR3_neut_Jet_rawEnergy   jotNeRing_3
Jet_energyRing_dR4_neut_Jet_rawEnergy   jotNeRing_4
Jet_energyRing_dR0_ch_Jet_rawEnergy     jotChRing_0
Jet_energyRing_dR1_ch_Jet_rawEnergy     jotChRing_1
Jet_energyRing_dR2_ch_Jet_rawEnergy     jotChRing_2
Jet_energyRing_dR3_ch_Jet_rawEnergy     jotChRing_3
Jet_energyRing_dR4_ch_Jet_rawEnergy     jotChRing_4
Jet_energyRing_dR0_em_Jet_rawEnergy     jotEMRing_0
Jet_energyRing_dR1_em_Jet_rawEnergy     jotEMRing_1
Jet_energyRing_dR2_em_Jet_rawEnergy     jotEMRing_2
Jet_energyRing_dR3_em_Jet_rawEnergy     jotEMRing_3
Jet_energyRing_dR4_em_Jet_rawEnergy     jotEMRing_4
Jet_energyRing_dR0_mu_Jet_rawEnergy     jotMuRing_0
Jet_energyRing_dR1_mu_Jet_rawEnergy     jotMuRing_1
Jet_energyRing_dR2_mu_Jet_rawEnergy     jotMuRing_2
Jet_energyRing_dR3_mu_Jet_rawEnergy     jotMuRing_3
Jet_energyRing_dR4_mu_Jet_rawEnergy     jotMuRing_4
