jetPt               cmva_jet1_pt
jetEta              cmva_jet1_eta
jetPhi              cmva_jet1_phi
jetM                cmva_jet1_m
jetCSV              cmva_jet1_csv
jetCMVA             cmva_jet1_cmva
jetQGL              cmva_jet1_qgl
jetLeadingLepPt     cmva_jet1_leadlep_pt
jetLeadingLepPtRel  cmva_jet1_leadlep_ptrel
jetLeadingLepDeltaR cmva_jet1_leadlep_dr
jetLeadingTrkPt     cmva_jet1_maxtrk
jetvtxPt            cmva_jet1_vtx_pt
jetvtxMass          cmva_jet1_vtx_m
jetvtx3Dval         cmva_jet1_vtx_3Dval
jetvtx3Derr         cmva_jet1_vtx_3Derr
jetvtxNtrk          cmva_jet1_vtx_ntrk
jetEMFrac           cmva_jet1_emfrac
jetChHadFrac        cmva_jet1_chf
jetNeuHadFrac       cmva_jet1_chf
jetNLep             cmva_jet1_nlep
