CHS

                            tt         lightz         heavyz         signal
Data                   34403.0        34083.0         9790.0         6637.0
hbb                   0.014850       3.882110       4.722952      93.895235
wj                 1750.542680   12142.628830    1073.885600     484.064472
wjb                 323.418579     206.895309     450.767957     196.273865
wjbb                182.415044      24.687351     267.890285     265.632218
tt                25106.015992     678.269266    1130.207601    1554.451577
st                 3213.802354     231.787727     463.176933     369.329471
zj                    1.070872   18233.232292    1543.261380     813.825259
zjb                   1.678134     561.982485    1607.038125     824.375150
zjbb                  2.293819     135.970323    2263.674351    1388.921029
vv                   84.657515     743.989426      70.309022     449.303410


PUPPI

                            tt         lightz         heavyz         signal
Data                   27171.0        21588.0         5911.0         4138.0
hbb                   0.011159       7.395519       2.895165      77.207036
wj                  423.648739    6064.830435     229.069692      79.711717
wjb                 151.486568     160.273453     229.552095      71.150164
wjbb                123.167727      71.310287     236.839712     211.447943
tt                17123.757013    1001.571690     859.419453    1080.569291
st                 2093.702735     274.663291     305.333097     243.972242
zj                    0.381900    8442.807962     307.457875     150.185646
zjb                   0.473623     561.402579     726.959612     359.829122
zjbb                  0.990654     290.871340    1851.699659    1095.347465
vv                   23.946327     463.516412      35.785013     291.256583


Data   [0.7897857744964102,  0.6333949476278496, 0.603779366700715,   0.623474461353021]
hbb    [0.7514478114478115,  1.9050256175121263, 0.6129990311144385,  0.8222678818579026]
wj     [0.24200994573865514, 0.4994660151363615, 0.21330921282490425, 0.1646716948068025]
wjb    [0.4683916689894306,  0.7746596758266762, 0.5092467009583824,  0.36250452397215494]
wjbb   [0.6752059714987104,  2.8885353880211775, 0.8840922021490999,  0.7960176841199286]
tt     [0.682057918646131,   1.4766579295367925, 0.7604084879977726,  0.6951450318481037]
st     [0.651472151793688,   1.184977714544826,  0.6592148167274988,  0.6605815705403049]
zj     [0.3566252549324289,  0.4630450502023364, 0.19922605398186016, 0.18454286634521871]
zjb    [0.2822319314190643,  0.9989681066305829, 0.4523599040315238,  0.4364871042024981]
zjbb   [0.43187976034726366, 2.139226660511794,  0.8180062022534266,  0.7886319251632556]
vv     [0.2828612084822003,  0.6230147846214148, 0.5089675831360589,  0.6482403127098456]
